Device ID,Device Name,Asset ID (Container),Status,Last Seen,Latitude,Longitude,Temperature (°C),Door Status,Power Status,Battery Level (%),Error Codes,Data Source,Raw Data (JSON)
"FCIU8415533","FCIU8415533","FCIU8415533","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.742843","-118.268952","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""FCIU8415533"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""19.9"",""GPSLatitude"":""33.742843"",""LastAssetID"":""FCIU8415533"",""GPSLongitude"":""-118.268952"",""BatteryVoltage"":""8.83""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""8.7"",""AssetID"":""FCIU8415533"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:03.159Z"",""EventDtm"":""2025-11-03T11:28:03.159Z""}}}"
"SEGU9058532","SEGU9058532","SEGU9058532","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.745063","-118.272978","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""SEGU9058532"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""25.6"",""GPSLatitude"":""33.745063"",""LastAssetID"":""SEGU9058532"",""GPSLongitude"":""-118.272978"",""BatteryVoltage"":""8.16""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""13.5"",""AssetID"":""SEGU9058532"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_0"",""OemAlarm"":290}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:44.641Z"",""EventDtm"":""2025-11-03T11:26:44.641Z""}}}"
"27","27","27","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.747743","-118.268415","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""27"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""28.6"",""GPSLatitude"":""33.747743"",""LastAssetID"":""27"",""GPSLongitude"":""-118.268415"",""BatteryVoltage"":""8.62""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""7.4"",""AssetID"":""27"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:37.997Z"",""EventDtm"":""2025-11-03T11:27:37.997Z""}}}"
"CRIU4025127","CRIU4025127","CRIU4025127","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.739347","-118.270927","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CRIU4025127"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""18.5"",""GPSLatitude"":""33.739347"",""LastAssetID"":""CRIU4025127"",""GPSLongitude"":""-118.270927"",""BatteryVoltage"":""8.61""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""18.1"",""AssetID"":""CRIU4025127"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:44.857Z"",""EventDtm"":""2025-11-03T11:26:44.857Z""}}}"
"TGHU2675778","TGHU2675778","TGHU2675778","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.739407","-118.274726","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""TGHU2675778"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""21.5"",""GPSLatitude"":""33.739407"",""LastAssetID"":""TGHU2675778"",""GPSLongitude"":""-118.274726"",""BatteryVoltage"":""7.65""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""14.0"",""AssetID"":""TGHU2675778"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:44.965Z"",""EventDtm"":""2025-11-03T11:26:44.965Z""}}}"
"Site Cabin 65","Site Cabin 65","Site Cabin 65","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.742603","-118.269364","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 65"",""ExtPower"":false,""DoorState"":""closed"",""DeviceTemp"":""18.1"",""GPSLatitude"":""33.742603"",""LastAssetID"":""Site Cabin 65"",""GPSLongitude"":""-118.269364"",""BatteryVoltage"":""8.69""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""12.2"",""AssetID"":""Site Cabin 65"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_10"",""OemAlarm"":14}]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:47.954Z"",""EventDtm"":""2025-11-03T11:27:47.954Z""}}}"
"Site Cabin 71","Site Cabin 71","Site Cabin 71","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.744279","-118.276186","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 71"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""29.2"",""GPSLatitude"":""33.744279"",""LastAssetID"":""Site Cabin 71"",""GPSLongitude"":""-118.276186"",""BatteryVoltage"":""7.82""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""12.2"",""AssetID"":""Site Cabin 71"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_15"",""OemAlarm"":620}]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:44.386Z"",""EventDtm"":""2025-11-03T11:27:44.386Z""}}}"
"CRIU1025099","CRIU1025099","CRIU1025099","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.74478","-118.272562","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CRIU1025099"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""18.4"",""GPSLatitude"":""33.744780"",""LastAssetID"":""CRIU1025099"",""GPSLongitude"":""-118.272562"",""BatteryVoltage"":""8.29""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""14.2"",""AssetID"":""CRIU1025099"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:45.648Z"",""EventDtm"":""2025-11-03T11:26:45.648Z""}}}"
"HDMU4745626","HDMU4745626","HDMU4745626","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.741579","-118.275013","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""HDMU4745626"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""23.9"",""GPSLatitude"":""33.741579"",""LastAssetID"":""HDMU4745626"",""GPSLongitude"":""-118.275013"",""BatteryVoltage"":""8.87""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""12.6"",""AssetID"":""HDMU4745626"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_59"",""OemAlarm"":135}]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:50.204Z"",""EventDtm"":""2025-11-03T11:27:50.204Z""}}}"
"33","33","33","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.743024","-118.269217","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""33"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""27.6"",""GPSLatitude"":""33.743024"",""LastAssetID"":""33"",""GPSLongitude"":""-118.269217"",""BatteryVoltage"":""7.84""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""12.9"",""AssetID"":""33"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_70"",""OemAlarm"":209}]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:38.544Z"",""EventDtm"":""2025-11-03T11:27:38.544Z""}}}"
"BSIU9335759","BSIU9335759","BSIU9335759","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.742686","-118.272737","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""BSIU9335759"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""30.9"",""GPSLatitude"":""33.742686"",""LastAssetID"":""BSIU9335759"",""GPSLongitude"":""-118.272737"",""BatteryVoltage"":""7.63""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""16.8"",""AssetID"":""BSIU9335759"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_78"",""OemAlarm"":445}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:46.314Z"",""EventDtm"":""2025-11-03T11:26:46.314Z""}}}"
"CICU4916003","CICU4916003","CICU4916003","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.745345","-118.277362","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CICU4916003"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""33.2"",""GPSLatitude"":""33.745345"",""LastAssetID"":""CICU4916003"",""GPSLongitude"":""-118.277362"",""BatteryVoltage"":""8.18""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""15.4"",""AssetID"":""CICU4916003"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_68"",""OemAlarm"":590}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:46.530Z"",""EventDtm"":""2025-11-03T11:26:46.530Z""}}}"
"54","54","54","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.746152","-118.275945","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""54"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""30.5"",""GPSLatitude"":""33.746152"",""LastAssetID"":""54"",""GPSLongitude"":""-118.275945"",""BatteryVoltage"":""7.90""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""10.3"",""AssetID"":""54"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:23.722Z"",""EventDtm"":""2025-11-03T11:28:23.722Z""}}}"
"Site Cabin 67","Site Cabin 67","Site Cabin 67","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.746346","-118.268783","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 67"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""33.3"",""GPSLatitude"":""33.746346"",""LastAssetID"":""Site Cabin 67"",""GPSLongitude"":""-118.268783"",""BatteryVoltage"":""7.77""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""13.3"",""AssetID"":""Site Cabin 67"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:27.427Z"",""EventDtm"":""2025-11-03T11:28:27.427Z""}}}"
"CRIU1025020","CRIU1025020","CRIU1025020","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.746368","-118.273765","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CRIU1025020"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""32.9"",""GPSLatitude"":""33.746368"",""LastAssetID"":""CRIU1025020"",""GPSLongitude"":""-118.273765"",""BatteryVoltage"":""8.04""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""15.4"",""AssetID"":""CRIU1025020"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:52.097Z"",""EventDtm"":""2025-11-03T11:26:52.097Z""}}}"
"HNKU6025650","HNKU6025650","HNKU6025650","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.743809","-118.272818","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""HNKU6025650"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""15.9"",""GPSLatitude"":""33.743809"",""LastAssetID"":""HNKU6025650"",""GPSLongitude"":""-118.272818"",""BatteryVoltage"":""7.84""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""9.7"",""AssetID"":""HNKU6025650"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:06.711Z"",""EventDtm"":""2025-11-03T11:28:06.711Z""}}}"
"Site Cabin 75","Site Cabin 75","Site Cabin 75","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.744114","-118.268719","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 75"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""33.6"",""GPSLatitude"":""33.744114"",""LastAssetID"":""Site Cabin 75"",""GPSLongitude"":""-118.268719"",""BatteryVoltage"":""8.67""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""19.0"",""AssetID"":""Site Cabin 75"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:15.979Z"",""EventDtm"":""2025-11-03T11:27:15.979Z""}}}"
"APZU4782144","APZU4782144","APZU4782144","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.746973","-118.271871","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""APZU4782144"",""ExtPower"":false,""DoorState"":""closed"",""DeviceTemp"":""32.2"",""GPSLatitude"":""33.746973"",""LastAssetID"":""APZU4782144"",""GPSLongitude"":""-118.271871"",""BatteryVoltage"":""7.94""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""12.8"",""AssetID"":""APZU4782144"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_44"",""OemAlarm"":834}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:48.363Z"",""EventDtm"":""2025-11-03T11:26:48.363Z""}}}"
"BMOU9788370","BMOU9788370","BMOU9788370","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.743882","-118.275324","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""BMOU9788370"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""18.6"",""GPSLatitude"":""33.743882"",""LastAssetID"":""BMOU9788370"",""GPSLongitude"":""-118.275324"",""BatteryVoltage"":""8.47""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""5.5"",""AssetID"":""BMOU9788370"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:59.321Z"",""EventDtm"":""2025-11-03T11:28:59.321Z""}}}"
"HDMU4739876","HDMU4739876","HDMU4739876","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.742496","-118.269195","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""HDMU4739876"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""20.8"",""GPSLatitude"":""33.742496"",""LastAssetID"":""HDMU4739876"",""GPSLongitude"":""-118.269195"",""BatteryVoltage"":""8.76""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""9.9"",""AssetID"":""HDMU4739876"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:25.535Z"",""EventDtm"":""2025-11-03T11:28:25.535Z""}}}"
"CRIU2142084 (DTCU2142087)","CRIU2142084 (DTCU2142087)","CRIU2142084 (DTCU2142087)","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.739639","-118.270829","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CRIU2142084 (DTCU2142087)"",""ExtPower"":false,""DoorState"":""open"",""DeviceTemp"":""26.7"",""GPSLatitude"":""33.739639"",""LastAssetID"":""CRIU2142084 (DTCU2142087)"",""GPSLongitude"":""-118.270829"",""BatteryVoltage"":""8.11""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""8.7"",""AssetID"":""CRIU2142084 (DTCU2142087)"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:24.876Z"",""EventDtm"":""2025-11-03T11:28:24.876Z""}}}"
"CRIU4025071","CRIU4025071","CRIU4025071","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.741836","-118.277251","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CRIU4025071"",""ExtPower"":false,""DoorState"":""closed"",""DeviceTemp"":""30.8"",""GPSLatitude"":""33.741836"",""LastAssetID"":""CRIU4025071"",""GPSLongitude"":""-118.277251"",""BatteryVoltage"":""8.06""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""10.4"",""AssetID"":""CRIU4025071"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_25"",""OemAlarm"":125}]},""MessageData"":{""AppDtm"":""2025-11-03T11:26:59.365Z"",""EventDtm"":""2025-11-03T11:26:59.365Z""}}}"
"Site Cabin 69","Site Cabin 69","Site Cabin 69","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.746014","-118.269964","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""Site Cabin 69"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""30.9"",""GPSLatitude"":""33.746014"",""LastAssetID"":""Site Cabin 69"",""GPSLongitude"":""-118.269964"",""BatteryVoltage"":""7.93""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""11.6"",""AssetID"":""Site Cabin 69"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:25.961Z"",""EventDtm"":""2025-11-03T11:28:25.961Z""}}}"
"CRIU4023021","CRIU4023021","CRIU4023021","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.74831","-118.268713","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CRIU4023021"",""ExtPower"":true,""DoorState"":""open"",""DeviceTemp"":""23.5"",""GPSLatitude"":""33.748310"",""LastAssetID"":""CRIU4023021"",""GPSLongitude"":""-118.268713"",""BatteryVoltage"":""8.98""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""10.8"",""AssetID"":""CRIU4023021"",""ReeferAlarms"":[{""Active"":true,""RCAlias"":""TEMP_HIGH_44"",""OemAlarm"":216}]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:38.441Z"",""EventDtm"":""2025-11-03T11:27:38.441Z""}}}"
"CICU9764372","CICU9764372","CICU9764372","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.744385","-118.274658","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""CICU9764372"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""16.6"",""GPSLatitude"":""33.744385"",""LastAssetID"":""CICU9764372"",""GPSLongitude"":""-118.274658"",""BatteryVoltage"":""8.62""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""14.1"",""AssetID"":""CICU9764372"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:24.544Z"",""EventDtm"":""2025-11-03T11:28:24.544Z""}}}"
"GESU3885884","GESU3885884","GESU3885884","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.740813","-118.275324","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""GESU3885884"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""28.4"",""GPSLatitude"":""33.740813"",""LastAssetID"":""GESU3885884"",""GPSLongitude"":""-118.275324"",""BatteryVoltage"":""7.86""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""15.9"",""AssetID"":""GESU3885884"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:28:21.788Z"",""EventDtm"":""2025-11-03T11:28:21.788Z""}}}"
"ZTCU2000211","ZTCU2000211","ZTCU2000211","active","Mon Oct 06 2025 05:19:22 GMT+0530 (India Standard Time)","33.747491","-118.272868","","","off","","","database_container","{""Event"":{""DeviceData"":{""DeviceID"":""ZTCU2000211"",""ExtPower"":true,""DoorState"":""closed"",""DeviceTemp"":""15.7"",""GPSLatitude"":""33.747491"",""LastAssetID"":""ZTCU2000211"",""GPSLongitude"":""-118.272868"",""BatteryVoltage"":""8.90""},""EventClass"":""DeviceMessage"",""ReeferData"":{""TAmb"":""11.4"",""AssetID"":""ZTCU2000211"",""ReeferAlarms"":[]},""MessageData"":{""AppDtm"":""2025-11-03T11:27:26.682Z"",""EventDtm"":""2025-11-03T11:27:26.682Z""}}}"
